frame,advance_m,station_m
frame_000001.jpg,0.0,0.0
frame_000002.jpg,0.499,0.5
frame_000003.jpg,0.499,1.0
frame_000004.jpg,0.499,1.5
frame_000005.jpg,0.499,1.99
frame_000006.jpg,0.499,2.49
frame_000007.jpg,0.102,2.6
frame_000008.jpg,0.499,3.09
frame_000009.jpg,0.499,3.59
frame_000010.jpg,0.499,4.09
frame_000011.jpg,0.499,4.59
frame_000012.jpg,0.499,5.09
frame_000013.jpg,0.499,5.59
frame_000014.jpg,0.499,6.09
frame_000015.jpg,0.126,6.21
frame_000016.jpg,0.166,6.38
frame_000017.jpg,0.209,6.59
frame_000018.jpg,0.247,6.84
frame_000019.jpg,0.271,7.11
frame_000020.jpg,0.294,7.4
frame_000021.jpg,0.345,7.75
frame_000022.jpg,0.394,8.14
frame_000023.jpg,0.417,8.56
frame_000024.jpg,0.443,9.0
frame_000025.jpg,0.441,9.44
frame_000026.jpg,0.476,9.92
frame_000027.jpg,0.495,10.41
frame_000028.jpg,0.504,10.91
frame_000029.jpg,0.492,11.41
frame_000030.jpg,0.479,11.89
frame_000031.jpg,0.482,12.37
frame_000032.jpg,0.479,12.85
frame_000033.jpg,0.476,13.32
frame_000034.jpg,0.455,13.78
frame_000035.jpg,0.455,14.23
frame_000036.jpg,0.456,14.69
frame_000037.jpg,0.466,15.15
frame_000038.jpg,0.46,15.62
frame_000039.jpg,0.447,16.06
frame_000040.jpg,0.458,16.52
frame_000041.jpg,0.469,16.99
frame_000042.jpg,0.45,17.44
frame_000043.jpg,0.462,17.9
frame_000044.jpg,0.474,18.38
frame_000045.jpg,0.516,18.89
frame_000046.jpg,0.516,19.41
frame_000047.jpg,0.508,19.92
frame_000048.jpg,0.512,20.43
frame_000049.jpg,0.489,20.92
frame_000050.jpg,0.515,21.43
frame_000051.jpg,0.513,21.94
frame_000052.jpg,0.514,22.46
frame_000053.jpg,0.487,22.95
frame_000054.jpg,0.507,23.45
frame_000055.jpg,0.509,23.96
frame_000056.jpg,0.523,24.48
frame_000057.jpg,0.506,24.99
frame_000058.jpg,0.496,25.49
frame_000059.jpg,0.491,25.98
frame_000060.jpg,0.5,26.48
frame_000061.jpg,0.511,26.99
frame_000062.jpg,0.53,27.52
frame_000063.jpg,0.544,28.06
frame_000064.jpg,0.551,28.61
frame_000065.jpg,0.557,29.17
frame_000066.jpg,0.546,29.72
frame_000067.jpg,0.551,30.27
frame_000068.jpg,0.547,30.81
frame_000069.jpg,0.529,31.34
frame_000070.jpg,0.52,31.86
frame_000071.jpg,0.491,32.35
frame_000072.jpg,0.521,32.87
frame_000073.jpg,0.508,33.38
frame_000074.jpg,0.515,33.9
frame_000075.jpg,0.521,34.42
frame_000076.jpg,0.514,34.93
frame_000077.jpg,0.518,35.45
frame_000078.jpg,0.514,35.97
frame_000079.jpg,0.537,36.5
frame_000080.jpg,0.538,37.04
frame_000081.jpg,0.551,37.59
frame_000082.jpg,0.546,38.14
frame_000083.jpg,0.556,38.69
frame_000084.jpg,0.583,39.28
frame_000085.jpg,0.602,39.88
frame_000086.jpg,0.608,40.49
frame_000087.jpg,0.617,41.1
frame_000088.jpg,0.617,41.72
frame_000089.jpg,0.623,42.34
frame_000090.jpg,0.63,42.97
frame_000091.jpg,0.631,43.61
frame_000092.jpg,0.639,44.24
frame_000093.jpg,0.641,44.89
frame_000094.jpg,0.648,45.53
frame_000095.jpg,0.653,46.19
frame_000096.jpg,0.667,46.85
frame_000097.jpg,0.678,47.53
frame_000098.jpg,0.643,48.17
frame_000099.jpg,0.666,48.84
frame_000100.jpg,0.662,49.5
frame_000101.jpg,0.659,50.16
frame_000102.jpg,0.658,50.82
frame_000103.jpg,0.652,51.47
frame_000104.jpg,0.65,52.12
frame_000105.jpg,0.645,52.77
frame_000106.jpg,0.639,53.4
frame_000107.jpg,0.621,54.03
frame_000108.jpg,0.605,54.63
frame_000109.jpg,0.577,55.21
frame_000110.jpg,0.557,55.76
frame_000111.jpg,0.535,56.3
frame_000112.jpg,0.5,56.8
frame_000113.jpg,0.472,57.27
frame_000114.jpg,0.451,57.72
frame_000115.jpg,0.429,58.15
frame_000116.jpg,0.426,58.58
frame_000117.jpg,0.411,58.99
frame_000118.jpg,0.404,59.39
frame_000119.jpg,0.394,59.79
frame_000120.jpg,0.396,60.18
frame_000121.jpg,0.41,60.59
frame_000122.jpg,0.405,61.0
frame_000123.jpg,0.415,61.41
frame_000124.jpg,0.418,61.83
frame_000125.jpg,0.433,62.26
frame_000126.jpg,0.443,62.71
frame_000127.jpg,0.455,63.16
frame_000128.jpg,0.468,63.63
frame_000129.jpg,0.49,64.12
frame_000130.jpg,0.506,64.62
frame_000131.jpg,0.52,65.14
frame_000132.jpg,0.53,65.67
frame_000133.jpg,0.541,66.22
frame_000134.jpg,0.552,66.77
frame_000135.jpg,0.566,67.33
frame_000136.jpg,0.559,67.89
frame_000137.jpg,0.58,68.47
frame_000138.jpg,0.591,69.06
frame_000139.jpg,0.591,69.65
frame_000140.jpg,0.591,70.25
frame_000141.jpg,0.605,70.85
frame_000142.jpg,0.609,71.46
frame_000143.jpg,0.624,72.08
frame_000144.jpg,0.616,72.7
frame_000145.jpg,0.611,73.31
frame_000146.jpg,0.614,73.92
frame_000147.jpg,0.604,74.53
frame_000148.jpg,0.6,75.13
frame_000149.jpg,0.601,75.73
frame_000150.jpg,0.605,76.34
frame_000151.jpg,0.61,76.95
frame_000152.jpg,0.616,77.56
frame_000153.jpg,0.622,78.18
frame_000154.jpg,0.642,78.82
frame_000155.jpg,0.647,79.47
frame_000156.jpg,0.647,80.12
frame_000157.jpg,0.654,80.77
frame_000158.jpg,0.657,81.43
frame_000159.jpg,0.634,82.06
frame_000160.jpg,0.62,82.68
frame_000161.jpg,0.6,83.28
frame_000162.jpg,0.597,83.88
frame_000163.jpg,0.564,84.44
frame_000164.jpg,0.548,84.99
frame_000165.jpg,0.536,85.53
frame_000166.jpg,0.511,86.04
frame_000167.jpg,0.486,86.53
frame_000168.jpg,0.39,86.92
frame_000169.jpg,0.43,87.35
frame_000170.jpg,0.447,87.79
frame_000171.jpg,0.437,88.23
frame_000172.jpg,0.428,88.66
frame_000173.jpg,0.412,89.07
frame_000174.jpg,0.4,89.47
frame_000175.jpg,0.387,89.86
frame_000176.jpg,0.379,90.24
frame_000177.jpg,0.377,90.61
frame_000178.jpg,0.37,90.98
frame_000179.jpg,0.373,91.36
frame_000180.jpg,0.386,91.74
frame_000181.jpg,0.4,92.14
frame_000182.jpg,0.419,92.56
frame_000183.jpg,0.427,92.99
frame_000184.jpg,0.445,93.43
frame_000185.jpg,0.454,93.89
frame_000186.jpg,0.46,94.35
frame_000187.jpg,0.474,94.82
frame_000188.jpg,0.485,95.31
frame_000189.jpg,0.481,95.79
frame_000190.jpg,0.483,96.27
frame_000191.jpg,0.485,96.76
frame_000192.jpg,0.474,97.23
frame_000193.jpg,0.473,97.7
frame_000194.jpg,0.475,98.18
frame_000195.jpg,0.482,98.66
frame_000196.jpg,0.465,99.12
frame_000197.jpg,0.458,99.58
frame_000198.jpg,0.449,100.03
frame_000199.jpg,0.443,100.48
frame_000200.jpg,0.435,100.91
frame_000201.jpg,0.435,101.34
frame_000202.jpg,0.435,101.78
frame_000203.jpg,0.432,102.21
frame_000204.jpg,0.437,102.65
frame_000205.jpg,0.439,103.09
frame_000206.jpg,0.454,103.54
frame_000207.jpg,0.464,104.0
frame_000208.jpg,0.457,104.46
frame_000209.jpg,0.461,104.92
frame_000210.jpg,0.468,105.39
frame_000211.jpg,0.473,105.86
frame_000212.jpg,0.487,106.35
frame_000213.jpg,0.495,106.85
frame_000214.jpg,0.511,107.36
frame_000215.jpg,0.516,107.87
frame_000216.jpg,0.525,108.4
frame_000217.jpg,0.535,108.93
frame_000218.jpg,0.566,109.5
frame_000219.jpg,0.582,110.08
frame_000220.jpg,0.596,110.68
frame_000221.jpg,0.606,111.28
frame_000222.jpg,0.616,111.9
frame_000223.jpg,0.607,112.51
frame_000224.jpg,0.602,113.11
frame_000225.jpg,0.612,113.72
frame_000226.jpg,0.601,114.32
frame_000227.jpg,0.594,114.92
frame_000228.jpg,0.62,115.54
frame_000229.jpg,0.587,116.12
frame_000230.jpg,0.561,116.68
frame_000231.jpg,0.538,117.22
frame_000232.jpg,0.54,117.76
frame_000233.jpg,0.535,118.3
frame_000234.jpg,0.497,118.8
frame_000235.jpg,0.527,119.32
frame_000236.jpg,0.526,119.85
frame_000237.jpg,0.534,120.38
frame_000238.jpg,0.527,120.91
frame_000239.jpg,0.539,121.45
frame_000240.jpg,0.525,121.97
frame_000241.jpg,0.512,122.49
frame_000242.jpg,0.52,123.0
frame_000243.jpg,0.503,123.51
frame_000244.jpg,0.499,124.01
frame_000245.jpg,0.499,124.5
frame_000246.jpg,0.497,125.0
frame_000247.jpg,0.496,125.5
frame_000248.jpg,0.495,125.99
frame_000249.jpg,0.504,126.5
frame_000250.jpg,0.519,127.02
frame_000251.jpg,0.519,127.53
frame_000252.jpg,0.504,128.04
frame_000253.jpg,0.499,128.54
frame_000254.jpg,0.497,129.04
frame_000255.jpg,0.491,129.53
frame_000256.jpg,0.467,129.99
frame_000257.jpg,0.444,130.44
frame_000258.jpg,0.444,130.88
frame_000259.jpg,0.429,131.31
frame_000260.jpg,0.414,131.72
frame_000261.jpg,0.381,132.11
frame_000262.jpg,0.361,132.47
frame_000263.jpg,0.354,132.82
frame_000264.jpg,0.301,133.12
frame_000265.jpg,0.226,133.35
frame_000266.jpg,0.166,133.51
frame_000267.jpg,0.153,133.67
frame_000268.jpg,0.171,133.84
frame_000269.jpg,0.207,134.04
frame_000270.jpg,0.194,134.24
frame_000271.jpg,0.12,134.36
frame_000272.jpg,0.499,134.86
frame_000273.jpg,0.499,135.35
frame_000274.jpg,0.499,135.85
